amfi_code,Tracking_Error
100016,0.19919686360816102
100025,0.134476586963025
100033,0.2285998777868355
101206,0.19262252856927614
101207,0.29199027940878963
101208,0.12890076295069128
102885,0.18360039504722814
102886,0.22550994491400447
102887,0.20212821638219558
118632,0.19203157326490003
118633,0.19336519250282613
118634,0.2771656834988998
118635,0.18299670833678675
118636,0.1346996139800141
119092,0.18899935954966515
119093,0.18781805324020517
119094,0.2375485376255476
119095,0.2856569457345323
119120,0.13558741177417136
119551,0.19109935520724483
119552,0.1920435858331898
119598,0.28375789310276334
119599,0.27701451330492655
120503,0.19286377869652224
120504,0.19150361445538758
120505,0.2318665444119586
120506,0.19591952726841844
120507,0.1289874086389037
120841,0.18303908068506228
120842,0.21907398121492982
120843,0.2063351207604329
120844,0.1289893999872326
125497,0.1909889237537513
125498,0.22349476269386287
148567,0.18958112571835656
148568,0.2031250024312704
148569,0.2172705794478895
149322,0.1931799440188807
149323,0.21942561535398014
149324,0.2790487979409472
